
Spine Center Intensity Max Ch=6 Img=1
 ==================== 
Spine Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,6,0,Image 1,1,1,100000001,610000009044,
0,,Spine,6,2,Image 1,2,1,100000001,610000009045,
0,,Spine,6,1,Image 1,1,1,100000001,610000009046,
0,,Spine,6,0,Image 1,1,1,100000001,610000009047,
0,,Spine,6,1,Image 1,2,1,100000001,610000009048,
0,,Spine,6,1,Image 1,1,1,100000001,610000009049,
0,,Spine,6,0,Image 1,1,1,100000001,610000009050,
2,,Spine,6,19,Image 1,7,1,100000001,610000009051,
4,,Spine,6,15,Image 1,4,1,100000001,610000009052,
1,,Spine,6,15,Image 1,4,1,100000001,610000009053,
3,,Spine,6,14,Image 1,5,1,100000001,610000009054,
4,,Spine,6,12,Image 1,4,1,100000001,610000009055,
3,,Spine,6,12,Image 1,4,1,100000001,610000009056,
3,,Spine,6,12,Image 1,3,1,100000001,610000009057,
1,,Spine,6,9,Image 1,3,1,100000001,610000009058,
1,,Spine,6,7,Image 1,2,1,100000001,610000009059,
2,,Spine,6,7,Image 1,2,1,100000001,610000009060,
3,,Spine,6,7,Image 1,3,1,100000001,610000009061,
0,,Spine,6,5,Image 1,2,1,100000001,610000009062,
1,,Spine,6,4,Image 1,2,1,100000001,610000009063,
1,,Spine,6,4,Image 1,2,1,100000001,610000009064,
0,,Spine,6,8,Image 1,5,1,100000001,610000009065,
0,,Spine,6,6,Image 1,4,1,100000001,610000009066,
2,,Spine,6,9,Image 1,5,1,100000001,610000009067,
1,,Spine,6,9,Image 1,4,1,100000001,610000009068,
0,,Spine,6,5,Image 1,2,1,100000001,610000009069,
0,,Spine,6,5,Image 1,2,1,100000001,610000009070,
1,,Spine,6,4,Image 1,2,1,100000001,610000009071,
1,,Spine,6,4,Image 1,2,1,100000001,610000009072,
0,,Spine,6,3,Image 1,2,1,100000001,610000009073,
0,,Spine,6,2,Image 1,2,1,100000001,610000009074,
1,,Spine,6,2,Image 1,2,1,100000001,610000009075,
