
Segment Center Intensity Max Ch=2 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
6,,Segment,2,9,Image 1,3,1,100000000,510000003026,
2,,Segment,2,8,Image 1,7,1,100000000,510000003031,
2,,Segment,2,13,Image 1,3,1,100000000,510000003050,
3,,Segment,2,12,Image 1,3,1,100000000,510000003072,
3,,Segment,2,13,Image 1,5,1,100000000,510000003074,
10,,Segment,2,13,Image 1,4,1,100000000,510000003078,
2,,Segment,2,12,Image 1,6,1,100000000,510000003086,
2,,Segment,2,11,Image 1,5,1,100000000,510000003092,
8,,Segment,2,10,Image 1,4,1,100000000,510000003099,
2,,Segment,2,11,Image 1,4,1,100000000,510000003105,
2,,Segment,2,11,Image 1,5,1,100000000,510000003117,
2,,Segment,2,10,Image 1,4,1,100000000,510000003119,
2,,Segment,2,9,Image 1,3,1,100000000,510000003132,
0,,Segment,2,8,Image 1,3,1,100000000,510000003134,
1,,Segment,2,7,Image 1,5,1,100000000,510000003138,
2,,Segment,2,9,Image 1,4,1,100000000,510000003158,
9,,Segment,2,11,Image 1,4,1,100000000,510000003163,
3,,Segment,2,10,Image 1,3,1,100000000,510000003168,
1,,Segment,2,7,Image 1,4,1,100000000,510000003171,
4,,Segment,2,6,Image 1,4,1,100000000,510000003174,
12,,Segment,2,10,Image 1,3,1,100000000,510000003189,
1,,Segment,2,5,Image 1,3,1,100000000,510000003193,
27,,Segment,2,5,Image 1,3,1,100000000,510000003200,
7,,Segment,2,7,Image 1,3,1,100000000,510000003203,
4,,Segment,2,6,Image 1,3,1,100000000,510000003209,
3,,Segment,2,4,Image 1,3,1,100000000,510000003221,
2,,Segment,2,3,Image 1,4,1,100000000,510000003232,
1,,Segment,2,3,Image 1,3,1,100000000,510000003235,
1,,Segment,2,15,Image 1,9,1,100000001,510000003238,
5,,Segment,2,14,Image 1,8,1,100000001,510000003245,
13,,Segment,2,13,Image 1,7,1,100000001,510000003256,
6,,Segment,2,15,Image 1,8,1,100000001,510000003258,
17,,Segment,2,15,Image 1,5,1,100000001,510000003311,
7,,Segment,2,14,Image 1,5,1,100000001,510000003332,
22,,Segment,2,13,Image 1,5,1,100000001,510000003341,
6,,Segment,2,14,Image 1,7,1,100000001,510000003347,
5,,Segment,2,15,Image 1,7,1,100000001,510000003361,
9,,Segment,2,14,Image 1,7,1,100000001,510000003370,
1,,Segment,2,0,Image 1,1,1,100000000,510000003376,
15,,Segment,2,15,Image 1,7,1,100000001,510000003385,
7,,Segment,2,14,Image 1,6,1,100000001,510000003406,
4,,Segment,2,16,Image 1,7,1,100000001,510000003417,
34,,Segment,2,15,Image 1,6,1,100000001,510000003431,
34,,Segment,2,14,Image 1,6,1,100000001,510000003435,
1,,Segment,2,16,Image 1,7,1,100000001,510000003437,
