
Spine Part Length Head
 ==================== 
Spine Part Length Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.384115,µm,Spine,Spine Part Length,2,2,1,100000001,610000009027,
0.416667,µm,Spine,Spine Part Length,2,3,1,100000001,610000009028,
0.424397,µm,Spine,Spine Part Length,6,3,1,100000001,610000009029,
0.339805,µm,Spine,Spine Part Length,7,3,1,100000001,610000009030,
0.328234,µm,Spine,Spine Part Length,6,2,1,100000001,610000009031,
0.721579,µm,Spine,Spine Part Length,2,3,1,100000001,610000009032,
0.388827,µm,Spine,Spine Part Length,2,3,1,100000001,610000009033,
0.302718,µm,Spine,Spine Part Length,11,1,1,100000001,610000009037,
0.416667,µm,Spine,Spine Part Length,10,1,1,100000001,610000009038,
0.445087,µm,Spine,Spine Part Length,10,2,1,100000001,610000009039,
0.360393,µm,Spine,Spine Part Length,7,2,1,100000001,610000009040,
0.348307,µm,Spine,Spine Part Length,3,2,1,100000001,610000009041,
0.416667,µm,Spine,Spine Part Length,1,2,1,100000001,610000009042,
0.430006,µm,Spine,Spine Part Length,1,2,1,100000001,610000009043,
0.335795,µm,Spine,Spine Part Length,0,1,1,100000001,610000009044,
0.503762,µm,Spine,Spine Part Length,2,2,1,100000001,610000009045,
0.394167,µm,Spine,Spine Part Length,1,1,1,100000001,610000009046,
0.3125,µm,Spine,Spine Part Length,0,1,1,100000001,610000009047,
0.599899,µm,Spine,Spine Part Length,1,2,1,100000001,610000009048,
0.441081,µm,Spine,Spine Part Length,1,1,1,100000001,610000009049,
0.265299,µm,Spine,Spine Part Length,0,1,1,100000001,610000009050,
0.3125,µm,Spine,Spine Part Length,19,7,1,100000001,610000009051,
0.369733,µm,Spine,Spine Part Length,15,4,1,100000001,610000009052,
0.586172,µm,Spine,Spine Part Length,15,4,1,100000001,610000009053,
0.50429,µm,Spine,Spine Part Length,14,5,1,100000001,610000009054,
0.361002,µm,Spine,Spine Part Length,12,4,1,100000001,610000009055,
0.283781,µm,Spine,Spine Part Length,12,4,1,100000001,610000009056,
0.454036,µm,Spine,Spine Part Length,12,3,1,100000001,610000009057,
0.364583,µm,Spine,Spine Part Length,9,3,1,100000001,610000009058,
0.236003,µm,Spine,Spine Part Length,7,2,1,100000001,610000009059,
0.352249,µm,Spine,Spine Part Length,7,2,1,100000001,610000009060,
0.38248,µm,Spine,Spine Part Length,7,3,1,100000001,610000009061,
0.34957,µm,Spine,Spine Part Length,5,2,1,100000001,610000009062,
0.554018,µm,Spine,Spine Part Length,4,2,1,100000001,610000009063,
0.657735,µm,Spine,Spine Part Length,4,2,1,100000001,610000009064,
0.387539,µm,Spine,Spine Part Length,8,5,1,100000001,610000009065,
0.275829,µm,Spine,Spine Part Length,6,4,1,100000001,610000009066,
0.283662,µm,Spine,Spine Part Length,9,5,1,100000001,610000009067,
0.408505,µm,Spine,Spine Part Length,9,4,1,100000001,610000009068,
0.208333,µm,Spine,Spine Part Length,5,2,1,100000001,610000009069,
0.327488,µm,Spine,Spine Part Length,5,2,1,100000001,610000009070,
0.358867,µm,Spine,Spine Part Length,4,2,1,100000001,610000009071,
0.273438,µm,Spine,Spine Part Length,4,2,1,100000001,610000009072,
0.467645,µm,Spine,Spine Part Length,3,2,1,100000001,610000009073,
0.587974,µm,Spine,Spine Part Length,2,2,1,100000001,610000009074,
0.381101,µm,Spine,Spine Part Length,2,2,1,100000001,610000009075,
0.276693,µm,Spine,Spine Part Length,4,3,1,100000001,610000009076,
0.629006,µm,Spine,Spine Part Length,3,3,1,100000001,610000009077,
0.498047,µm,Spine,Spine Part Length,2,2,1,100000001,610000009078,
0.491104,µm,Spine,Spine Part Length,4,2,1,100000001,610000009079,
0.412812,µm,Spine,Spine Part Length,3,1,1,100000001,610000009080,
0.286458,µm,Spine,Spine Part Length,3,1,1,100000001,610000009081,
0.463113,µm,Spine,Spine Part Length,4,2,1,100000001,610000009082,
0.264486,µm,Spine,Spine Part Length,4,2,1,100000001,610000009083,
0.208333,µm,Spine,Spine Part Length,3,2,1,100000001,610000009084,
0.429311,µm,Spine,Spine Part Length,4,2,1,100000001,610000009085,
0.3125,µm,Spine,Spine Part Length,14,6,1,100000002,610000009089,
0.304794,µm,Spine,Spine Part Length,14,7,1,100000002,610000009090,
0.550686,µm,Spine,Spine Part Length,14,7,1,100000002,610000009091,
0.394287,µm,Spine,Spine Part Length,11,7,1,100000002,610000009092,
0.455729,µm,Spine,Spine Part Length,9,5,1,100000002,610000009093,
0.3125,µm,Spine,Spine Part Length,9,5,1,100000002,610000009094,
0.303548,µm,Spine,Spine Part Length,15,6,1,100000002,610000009095,
0.289392,µm,Spine,Spine Part Length,14,6,1,100000002,610000009096,
0.575493,µm,Spine,Spine Part Length,15,7,1,100000002,610000009097,
0.31813,µm,Spine,Spine Part Length,12,6,1,100000002,610000009098,
0.391663,µm,Spine,Spine Part Length,11,5,1,100000002,610000009099,
0.375977,µm,Spine,Spine Part Length,11,5,1,100000002,610000009100,
0.454995,µm,Spine,Spine Part Length,4,3,1,100000002,610000009101,
0.590934,µm,Spine,Spine Part Length,1,2,1,100000002,610000009102,
0.455729,µm,Spine,Spine Part Length,4,3,1,100000002,610000009103,
0.526073,µm,Spine,Spine Part Length,1,1,1,100000002,610000009104,
0.416667,µm,Spine,Spine Part Length,1,1,1,100000002,610000009105,
0.456628,µm,Spine,Spine Part Length,3,3,1,100000002,610000009106,
0.431592,µm,Spine,Spine Part Length,3,2,1,100000002,610000009107,
0.208333,µm,Spine,Spine Part Length,4,1,1,100000002,610000009108,
0.519206,µm,Spine,Spine Part Length,2,2,1,100000002,610000009109,
0.368558,µm,Spine,Spine Part Length,12,7,1,100000002,610000009110,
0.538678,µm,Spine,Spine Part Length,12,7,1,100000002,610000009111,
0.380357,µm,Spine,Spine Part Length,12,7,1,100000002,610000009112,
0.498434,µm,Spine,Spine Part Length,12,7,1,100000002,610000009113,
0.226822,µm,Spine,Spine Part Length,12,7,1,100000002,610000009114,
0.280046,µm,Spine,Spine Part Length,12,6,1,100000002,610000009115,
0.208333,µm,Spine,Spine Part Length,11,5,1,100000002,610000009116,
0.34086,µm,Spine,Spine Part Length,8,3,1,100000002,610000009117,
0.432712,µm,Spine,Spine Part Length,7,3,1,100000002,610000009118,
0.494249,µm,Spine,Spine Part Length,5,2,1,100000002,610000009119,
0.27832,µm,Spine,Spine Part Length,11,3,1,100000002,610000009120,
0.386606,µm,Spine,Spine Part Length,9,2,1,100000002,610000009121,
0.377604,µm,Spine,Spine Part Length,13,2,1,100000002,610000009122,
0.270182,µm,Spine,Spine Part Length,11,2,1,100000002,610000009123,
0.273413,µm,Spine,Spine Part Length,12,2,1,100000002,610000009124,
0.435473,µm,Spine,Spine Part Length,7,2,1,100000002,610000009125,
0.677083,µm,Spine,Spine Part Length,7,2,1,100000002,610000009126,
0.452969,µm,Spine,Spine Part Length,6,4,1,100000002,610000009127,
0.208333,µm,Spine,Spine Part Length,6,4,1,100000002,610000009128,
0.625,µm,Spine,Spine Part Length,6,4,1,100000002,610000009129,
0.429125,µm,Spine,Spine Part Length,4,2,1,100000002,610000009130,
0.537109,µm,Spine,Spine Part Length,8,4,1,100000003,610000009131,
0.3125,µm,Spine,Spine Part Length,7,3,1,100000003,610000009132,
0.501262,µm,Spine,Spine Part Length,6,3,1,100000003,610000009133,
0.496207,µm,Spine,Spine Part Length,3,3,1,100000003,610000009134,
0.208333,µm,Spine,Spine Part Length,2,2,1,100000003,610000009135,
0.303053,µm,Spine,Spine Part Length,0,1,1,100000003,610000009136,
0.253022,µm,Spine,Spine Part Length,0,1,1,100000003,610000009137,
0.604687,µm,Spine,Spine Part Length,7,3,1,100000003,610000009139,
0.32874,µm,Spine,Spine Part Length,7,3,1,100000003,610000009140,
0.625,µm,Spine,Spine Part Length,9,3,1,100000003,610000009141,
0.539429,µm,Spine,Spine Part Length,8,1,1,100000003,610000009142,
0.3125,µm,Spine,Spine Part Length,7,1,1,100000003,610000009143,
0.542193,µm,Spine,Spine Part Length,7,1,1,100000003,610000009144,
0.581071,µm,Spine,Spine Part Length,5,1,1,100000003,610000009145,
0.208333,µm,Spine,Spine Part Length,5,2,1,100000003,610000009146,
0.490722,µm,Spine,Spine Part Length,5,3,1,100000003,610000009147,
0.279948,µm,Spine,Spine Part Length,2,2,1,100000003,610000009148,
0.496391,µm,Spine,Spine Part Length,1,1,1,100000003,610000009149,
0.545478,µm,Spine,Spine Part Length,1,1,1,100000003,610000009150,
0.339343,µm,Spine,Spine Part Length,3,3,1,100000003,610000009151,
0.420733,µm,Spine,Spine Part Length,9,7,1,100000003,610000009152,
0.336126,µm,Spine,Spine Part Length,6,5,1,100000003,610000009153,
0.3125,µm,Spine,Spine Part Length,3,2,1,100000003,610000009154,
0.554261,µm,Spine,Spine Part Length,3,2,1,100000003,610000009155,
0.737729,µm,Spine,Spine Part Length,3,2,1,100000003,610000009156,
0.586066,µm,Spine,Spine Part Length,0,1,1,100000003,610000009157,
0.423177,µm,Spine,Spine Part Length,0,1,1,100000003,610000009158,
0.698724,µm,Spine,Spine Part Length,0,1,1,100000003,610000009159,
0.763365,µm,Spine,Spine Part Length,0,1,1,100000003,610000009160,
0.208333,µm,Spine,Spine Part Length,0,1,1,100000003,610000009161,
0.603078,µm,Spine,Spine Part Length,2,2,1,100000003,610000009162,
0.616929,µm,Spine,Spine Part Length,2,2,1,100000003,610000009163,
0.493307,µm,Spine,Spine Part Length,2,2,1,100000003,610000009164,
0.663055,µm,Spine,Spine Part Length,2,1,1,100000003,610000009165,
0.875127,µm,Spine,Spine Part Length,0,1,1,100000003,610000009166,
0.208333,µm,Spine,Spine Part Length,0,1,1,100000003,610000009167,
0.607639,µm,Spine,Spine Part Length,0,1,1,100000003,610000009168,
0.753087,µm,Spine,Spine Part Length,0,1,1,100000003,610000009169,
