
Spine Neck Min Diameter
 ==================== 
Spine Neck Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.370634,µm,Spine,7,4,1,100000000,610000003603,
0.410791,µm,Spine,1,1,1,100000002,610000003605,
0.436781,µm,Spine,5,1,1,100000000,610000003608,
0.596588,µm,Spine,9,4,1,100000000,610000003611,
0.258807,µm,Spine,5,1,1,100000002,610000003614,
0.290952,µm,Spine,17,8,1,100000000,610000003618,
0.196572,µm,Spine,8,2,1,100000000,610000003620,
0.336174,µm,Spine,10,5,1,100000000,610000003622,
0,µm,Spine,10,5,1,100000000,610000003624,
0.471639,µm,Spine,17,7,1,100000000,610000003626,
0.395303,µm,Spine,10,5,1,100000000,610000003629,
0.411279,µm,Spine,1,1,1,100000001,610000003632,
0.362839,µm,Spine,8,2,1,100000000,610000003634,
0.251105,µm,Spine,1,1,1,100000002,610000003636,
0.43758,µm,Spine,0,1,1,100000001,610000003639,
0.371256,µm,Spine,2,1,1,100000000,610000003641,
0.284079,µm,Spine,5,2,1,100000000,610000003644,
0.190459,µm,Spine,3,2,1,100000000,610000003648,
0.268819,µm,Spine,7,2,1,100000000,610000003651,
0.240539,µm,Spine,4,1,1,100000000,610000003654,
0.285569,µm,Spine,21,8,1,100000000,610000003656,
0.347327,µm,Spine,5,3,1,100000000,610000003658,
0.190231,µm,Spine,15,6,1,100000000,610000003661,
0.238423,µm,Spine,2,2,1,100000000,610000003665,
0,µm,Spine,12,6,1,100000000,610000003667,
0.274541,µm,Spine,13,6,1,100000000,610000003670,
0.162331,µm,Spine,11,5,1,100000000,610000003673,
0,µm,Spine,11,5,1,100000000,610000003676,
0,µm,Spine,1,2,1,100000002,610000003680,
0.417028,µm,Spine,1,1,1,100000001,610000003683,
0.381422,µm,Spine,18,8,1,100000000,610000003685,
0.189805,µm,Spine,13,6,1,100000000,610000003689,
0.162331,µm,Spine,5,5,1,100000000,610000003691,
0.484176,µm,Spine,8,5,1,100000000,610000003693,
0.265078,µm,Spine,12,6,1,100000000,610000003695,
0.403181,µm,Spine,3,1,1,100000000,610000003697,
0.490754,µm,Spine,14,5,1,100000000,610000003701,
0.253642,µm,Spine,11,6,1,100000000,610000003703,
0,µm,Spine,2,1,1,100000000,610000003705,
0.236706,µm,Spine,14,7,1,100000000,610000003708,
0.491377,µm,Spine,10,5,1,100000000,610000003710,
0.323783,µm,Spine,3,3,1,100000000,610000003712,
0.533839,µm,Spine,1,1,1,100000000,610000003716,
0.492967,µm,Spine,11,5,1,100000000,610000003719,
0,µm,Spine,11,5,1,100000000,610000003721,
0.201328,µm,Spine,12,6,1,100000000,610000003723,
0.339831,µm,Spine,4,3,1,100000000,610000003726,
0.309443,µm,Spine,17,9,1,100000000,610000003728,
0.401811,µm,Spine,14,7,1,100000000,610000003730,
0.213457,µm,Spine,3,3,1,100000000,610000003733,
0.642949,µm,Spine,1,1,1,100000001,610000003736,
0,µm,Spine,13,5,1,100000000,610000003739,
0.25491,µm,Spine,1,1,1,100000002,610000003742,
0.338191,µm,Spine,12,6,1,100000000,610000003744,
0,µm,Spine,16,7,1,100000000,610000003746,
0.258856,µm,Spine,5,1,1,100000000,610000003748,
0.398424,µm,Spine,2,2,1,100000000,610000003751,
0,µm,Spine,5,3,1,100000000,610000003753,
0.325625,µm,Spine,7,2,1,100000000,610000003757,
0.166095,µm,Spine,17,8,1,100000000,610000003761,
0.484822,µm,Spine,2,1,1,100000000,610000003764,
0.425545,µm,Spine,2,1,1,100000000,610000003768,
0.324088,µm,Spine,2,1,1,100000000,610000003772,
0.488679,µm,Spine,4,2,1,100000000,610000003775,
0.235797,µm,Spine,17,8,1,100000000,610000003780,
0.221937,µm,Spine,10,5,1,100000000,610000003783,
0.371264,µm,Spine,3,4,1,100000000,610000003785,
0.195753,µm,Spine,6,4,1,100000000,610000003788,
0,µm,Spine,14,5,1,100000000,610000003790,
0,µm,Spine,18,8,1,100000000,610000003792,
0.261322,µm,Spine,1,1,1,100000002,610000003795,
0.53747,µm,Spine,3,1,1,100000000,610000003798,
0.260232,µm,Spine,2,2,1,100000001,610000003800,
0.415973,µm,Spine,1,1,1,100000001,610000003803,
0.295976,µm,Spine,14,7,1,100000000,610000003808,
0.280993,µm,Spine,6,2,1,100000000,610000003812,
0.411882,µm,Spine,12,5,1,100000000,610000003814,
0.202913,µm,Spine,3,3,1,100000000,610000003818,
0.331119,µm,Spine,1,1,1,100000001,610000003820,
0.183687,µm,Spine,11,5,1,100000000,610000003823,
0.317784,µm,Spine,2,1,1,100000002,610000003826,
0.405827,µm,Spine,0,1,1,100000002,610000003831,
0.517279,µm,Spine,1,1,1,100000002,610000003833,
0,µm,Spine,5,1,1,100000000,610000003836,
0.272665,µm,Spine,1,1,1,100000002,610000003838,
0.263946,µm,Spine,10,5,1,100000000,610000003842,
0,µm,Spine,0,1,1,100000001,610000003844,
0.203269,µm,Spine,0,1,1,100000001,610000003847,
0.236531,µm,Spine,14,7,1,100000000,610000003851,
0.449152,µm,Spine,1,1,1,100000001,610000003853,
0.249614,µm,Spine,15,6,1,100000000,610000003857,
0.367209,µm,Spine,8,2,1,100000000,610000003860,
0.260879,µm,Spine,3,1,1,100000000,610000003862,
0,µm,Spine,6,4,1,100000000,610000003864,
0,µm,Spine,5,2,1,100000000,610000003866,
0,µm,Spine,10,5,1,100000000,610000003868,
0.399486,µm,Spine,7,4,1,100000000,610000003871,
0,µm,Spine,11,5,1,100000000,610000003873,
0.311979,µm,Spine,0,1,1,100000002,610000003875,
0,µm,Spine,3,1,1,100000000,610000003878,
0.20748,µm,Spine,12,6,1,100000000,610000003881,
0.526751,µm,Spine,2,1,1,100000000,610000003884,
0.313869,µm,Spine,10,5,1,100000000,610000003887,
0.343129,µm,Spine,10,5,1,100000000,610000003890,
