
Spine Part Mean Diameter
 ==================== 
Spine Part Mean Diameter Ground,Spine Part Mean Diameter Head,Spine Part Mean Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.219131,0.205871,0,µm,Spine,Spine Part Mean Diameter,7,3,1,100000001,610000003757,
0.218917,0.170431,0,µm,Spine,Spine Part Mean Diameter,7,4,1,100000001,610000003479,
0.327426,0.260742,0,µm,Spine,Spine Part Mean Diameter,7,4,1,100000001,610000003642,
0.34426,0.341676,0,µm,Spine,Spine Part Mean Diameter,7,4,1,100000001,610000003720,
0.221274,0.196362,0,µm,Spine,Spine Part Mean Diameter,7,4,1,100000001,610000003743,
0.210036,0.194238,0,µm,Spine,Spine Part Mean Diameter,7,4,1,100000001,610000003744,
0.267647,0.177734,0,µm,Spine,Spine Part Mean Diameter,7,5,1,100000001,610000003482,
0.327945,0.243389,0.303426,µm,Spine,Spine Part Mean Diameter,7,5,1,100000000,610000003556,
0.252906,0.1625,0,µm,Spine,Spine Part Mean Diameter,8,6,1,100000000,610000003507,
0.34331,0.250917,0,µm,Spine,Spine Part Mean Diameter,9,4,1,100000000,610000003707,
0.257399,0.175195,0,µm,Spine,Spine Part Mean Diameter,9,5,1,100000000,610000003526,
0.218359,0.274219,0,µm,Spine,Spine Part Mean Diameter,9,5,1,100000000,610000003708,
