
Spine Intensity Median Ch=2 Img=1
 ==================== 
Spine Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
52.625,,Spine,2,4,Image 1,3,1,100000002,610000009561,
66.125,,Spine,2,5,Image 1,2,1,100000002,610000009565,
77.0625,,Spine,2,2,Image 1,2,1,100000004,610000009567,
37.0625,,Spine,2,0,Image 1,1,1,100000002,610000009569,
32.0625,,Spine,2,4,Image 1,4,1,100000002,610000009571,
30.125,,Spine,2,0,Image 1,1,1,100000004,610000009573,
51.0625,,Spine,2,2,Image 1,1,1,100000000,610000009576,
36.0625,,Spine,2,10,Image 1,4,1,100000002,610000009578,
64.125,,Spine,2,4,Image 1,4,1,100000000,610000009581,
31.0625,,Spine,2,3,Image 1,1,1,100000001,610000009583,
38.0625,,Spine,2,7,Image 1,3,1,100000000,610000009585,
40.125,,Spine,2,2,Image 1,2,1,100000002,610000009590,
38.0625,,Spine,2,11,Image 1,3,1,100000000,610000009592,
55.0625,,Spine,2,1,Image 1,2,1,100000004,610000009594,
56.125,,Spine,2,10,Image 1,1,1,100000002,610000009596,
44.0625,,Spine,2,0,Image 1,1,1,100000002,610000009598,
119.125,,Spine,2,2,Image 1,1,1,100000001,610000009604,
34.0625,,Spine,2,2,Image 1,2,1,100000000,610000009606,
43.125,,Spine,2,7,Image 1,2,1,100000002,610000009610,
45.0625,,Spine,2,1,Image 1,2,1,100000000,610000009612,
41.0625,,Spine,2,2,Image 1,1,1,100000002,610000009614,
45.0625,,Spine,2,4,Image 1,2,1,100000002,610000009617,
46.125,,Spine,2,11,Image 1,2,1,100000000,610000009619,
37.0625,,Spine,2,2,Image 1,2,1,100000001,610000009622,
47.0625,,Spine,2,8,Image 1,1,1,100000000,610000009624,
42.125,,Spine,2,2,Image 1,1,1,100000004,610000009626,
44.0625,,Spine,2,2,Image 1,1,1,100000002,610000009628,
53.125,,Spine,2,4,Image 1,4,1,100000002,610000009633,
44.5625,,Spine,2,6,Image 1,4,1,100000002,610000009635,
63.125,,Spine,2,14,Image 1,1,1,100000002,610000009639,
49.625,,Spine,2,16,Image 1,4,1,100000001,610000009641,
60.125,,Spine,2,3,Image 1,2,1,100000000,610000009644,
44.125,,Spine,2,3,Image 1,2,1,100000002,610000009646,
41.0625,,Spine,2,0,Image 1,1,1,100000004,610000009650,
30.0312,,Spine,2,3,Image 1,2,1,100000001,610000009655,
48.5625,,Spine,2,17,Image 1,2,1,100000002,610000009658,
47.0625,,Spine,2,9,Image 1,4,1,100000001,610000009660,
30.0312,,Spine,2,5,Image 1,3,1,100000003,610000009662,
98.0625,,Spine,2,2,Image 1,2,1,100000000,610000009666,
49.125,,Spine,2,2,Image 1,2,1,100000001,610000009669,
32.0625,,Spine,2,4,Image 1,2,1,100000002,610000009673,
57.125,,Spine,2,0,Image 1,1,1,100000002,610000009675,
81.125,,Spine,2,15,Image 1,7,1,100000001,610000009681,
69.125,,Spine,2,5,Image 1,2,1,100000000,610000009685,
47.125,,Spine,2,8,Image 1,1,1,100000002,610000009687,
39.5625,,Spine,2,0,Image 1,1,1,100000004,610000009689,
32.125,,Spine,2,1,Image 1,2,1,100000000,610000009692,
48.0625,,Spine,2,2,Image 1,1,1,100000001,610000009695,
39.5,,Spine,2,4,Image 1,3,1,100000004,610000009697,
65.125,,Spine,2,8,Image 1,3,1,100000002,610000009701,
42.0625,,Spine,2,13,Image 1,1,1,100000003,610000009703,
57.125,,Spine,2,8,Image 1,1,1,100000002,610000009706,
37.0625,,Spine,2,4,Image 1,4,1,100000002,610000009708,
55.0625,,Spine,2,6,Image 1,2,1,100000003,610000009710,
39.5625,,Spine,2,3,Image 1,3,1,100000003,610000009712,
91.125,,Spine,2,5,Image 1,3,1,100000002,610000009714,
59.125,,Spine,2,15,Image 1,3,1,100000002,610000009717,
61.125,,Spine,2,0,Image 1,1,1,100000002,610000009721,
48.625,,Spine,2,6,Image 1,2,1,100000000,610000009726,
38.125,,Spine,2,0,Image 1,1,1,100000004,610000009729,
59.125,,Spine,2,14,Image 1,3,1,100000001,610000009731,
71.125,,Spine,2,15,Image 1,7,1,100000001,610000009735,
54.625,,Spine,2,6,Image 1,4,1,100000002,610000009738,
45.5625,,Spine,2,2,Image 1,2,1,100000002,610000009742,
54.125,,Spine,2,0,Image 1,1,1,100000001,610000009746,
46.0625,,Spine,2,3,Image 1,2,1,100000004,610000009749,
68.125,,Spine,2,2,Image 1,1,1,100000000,610000009752,
86.625,,Spine,2,13,Image 1,4,1,100000001,610000009756,
77.125,,Spine,2,4,Image 1,2,1,100000001,610000009760,
99.125,,Spine,2,1,Image 1,2,1,100000000,610000009767,
56.625,,Spine,2,13,Image 1,5,1,100000002,610000009769,
52.125,,Spine,2,13,Image 1,4,1,100000001,610000009773,
42.125,,Spine,2,0,Image 1,1,1,100000004,610000009776,
56.125,,Spine,2,0,Image 1,1,1,100000002,610000009780,
72.125,,Spine,2,14,Image 1,4,1,100000001,610000009785,
34.0625,,Spine,2,1,Image 1,1,1,100000003,610000009789,
33.125,,Spine,2,17,Image 1,9,1,100000001,610000009791,
41.0625,,Spine,2,0,Image 1,1,1,100000004,610000009793,
30.0625,,Spine,2,2,Image 1,2,1,100000002,610000009800,
102.125,,Spine,2,0,Image 1,1,1,100000001,610000009803,
43.5625,,Spine,2,1,Image 1,2,1,100000000,610000009805,
56.125,,Spine,2,0,Image 1,1,1,100000004,610000009808,
62.125,,Spine,2,7,Image 1,2,1,100000002,610000009814,
63.125,,Spine,2,2,Image 1,2,1,100000001,610000009817,
97.5625,,Spine,2,2,Image 1,2,1,100000000,610000009819,
62.0625,,Spine,2,0,Image 1,1,1,100000004,610000009826,
64.125,,Spine,2,0,Image 1,1,1,100000004,610000009830,
65.0625,,Spine,2,2,Image 1,1,1,100000002,610000009833,
54.125,,Spine,2,14,Image 1,5,1,100000001,610000009836,
69.125,,Spine,2,9,Image 1,2,1,100000001,610000009839,
51.0625,,Spine,2,0,Image 1,1,1,100000000,610000009842,
57.0625,,Spine,2,1,Image 1,1,1,100000001,610000009844,
58.125,,Spine,2,14,Image 1,9,1,100000001,610000009846,
85.0625,,Spine,2,3,Image 1,2,1,100000000,610000009851,
66.125,,Spine,2,16,Image 1,3,1,100000001,610000009854,
63.125,,Spine,2,6,Image 1,2,1,100000000,610000009858,
103.062,,Spine,2,1,Image 1,2,1,100000000,610000009863,
53.0625,,Spine,2,0,Image 1,1,1,100000004,610000009870,
54.125,,Spine,2,2,Image 1,2,1,100000000,610000009875,
71.125,,Spine,2,5,Image 1,2,1,100000000,610000009878,
69.125,,Spine,2,3,Image 1,1,1,100000000,610000009888,
58.125,,Spine,2,10,Image 1,2,1,100000000,610000009898,
72.625,,Spine,2,6,Image 1,3,1,100000001,610000009901,
40.0625,,Spine,2,0,Image 1,1,1,100000004,610000009904,
114.062,,Spine,2,1,Image 1,2,1,100000000,610000009909,
61.0625,,Spine,2,5,Image 1,2,1,100000002,610000009913,
66.125,,Spine,2,8,Image 1,4,1,100000001,610000009916,
51.0625,,Spine,2,0,Image 1,1,1,100000000,610000009920,
85.125,,Spine,2,14,Image 1,5,1,100000001,610000009925,
96.0625,,Spine,2,1,Image 1,2,1,100000000,610000009929,
74.125,,Spine,2,13,Image 1,4,1,100000001,610000009932,
86.125,,Spine,2,0,Image 1,1,1,100000002,610000009935,
86.625,,Spine,2,0,Image 1,1,1,100000002,610000009939,
99.125,,Spine,2,0,Image 1,1,1,100000000,610000009949,
71.0625,,Spine,2,15,Image 1,7,1,100000001,610000009961,
73.125,,Spine,2,14,Image 1,4,1,100000001,610000009966,
55.125,,Spine,2,1,Image 1,2,1,100000000,610000009974,
49.0625,,Spine,2,3,Image 1,2,1,100000004,610000009978,
94.125,,Spine,2,1,Image 1,1,1,100000001,610000009983,
104.062,,Spine,2,1,Image 1,2,1,100000000,610000009995,
90.0625,,Spine,2,4,Image 1,2,1,100000000,610000010003,
58.0625,,Spine,2,0,Image 1,1,1,100000004,610000010011,
107.062,,Spine,2,4,Image 1,2,1,100000000,610000010013,
84.0625,,Spine,2,1,Image 1,2,1,100000000,610000010015,
71.125,,Spine,2,5,Image 1,1,1,100000002,610000010029,
73.625,,Spine,2,2,Image 1,2,1,100000001,610000010058,
85.125,,Spine,2,0,Image 1,1,1,100000004,610000010060,
97.625,,Spine,2,0,Image 1,1,1,100000002,610000010066,
120.625,,Spine,2,0,Image 1,1,1,100000001,610000010074,
92.625,,Spine,2,13,Image 1,5,1,100000002,610000010097,
73.625,,Spine,2,2,Image 1,2,1,100000000,610000010126,
68.0625,,Spine,2,2,Image 1,2,1,100000000,610000010127,
63.0625,,Spine,2,2,Image 1,2,1,100000000,610000010128,
56.125,,Spine,2,2,Image 1,2,1,100000000,610000010129,
25.125,,Spine,2,10,Image 1,2,1,100000000,610000010130,
49.125,,Spine,2,10,Image 1,2,1,100000000,610000010131,
39.5625,,Spine,2,8,Image 1,3,1,100000000,610000010132,
29.0625,,Spine,2,6,Image 1,1,1,100000000,610000010133,
30.0625,,Spine,2,6,Image 1,1,1,100000000,610000010134,
34.0625,,Spine,2,5,Image 1,1,1,100000000,610000010135,
43.125,,Spine,2,5,Image 1,1,1,100000000,610000010136,
37.5625,,Spine,2,4,Image 1,2,1,100000000,610000010137,
52.0625,,Spine,2,2,Image 1,1,1,100000000,610000010138,
15.0625,,Spine,2,10,Image 1,3,1,100000000,610000010139,
45.0625,,Spine,2,9,Image 1,4,1,100000000,610000010140,
53.0625,,Spine,2,9,Image 1,4,1,100000000,610000010141,
35.0625,,Spine,2,9,Image 1,4,1,100000000,610000010142,
33.0625,,Spine,2,9,Image 1,4,1,100000000,610000010143,
58.0625,,Spine,2,8,Image 1,3,1,100000000,610000010144,
32.0625,,Spine,2,8,Image 1,3,1,100000000,610000010145,
46.0625,,Spine,2,8,Image 1,2,1,100000000,610000010146,
28.0625,,Spine,2,9,Image 1,1,1,100000000,610000010147,
