
Spine Center Intensity Sum Ch=2 Img=1
 ==================== 
Spine Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
164,,Spine,2,1,Image 1,2,1,100000000,610000010181,
54,,Spine,2,17,Image 1,8,1,100000001,610000010183,
279,,Spine,2,14,Image 1,5,1,100000001,610000010184,
138,,Spine,2,13,Image 1,4,1,100000001,610000010185,
198,,Spine,2,13,Image 1,4,1,100000001,610000010186,
180,,Spine,2,13,Image 1,4,1,100000001,610000010187,
145,,Spine,2,13,Image 1,4,1,100000001,610000010188,
119,,Spine,2,11,Image 1,5,1,100000001,610000010189,
80,,Spine,2,9,Image 1,4,1,100000001,610000010190,
121,,Spine,2,8,Image 1,4,1,100000001,610000010191,
239,,Spine,2,8,Image 1,4,1,100000001,610000010192,
77,,Spine,2,7,Image 1,3,1,100000001,610000010193,
93,,Spine,2,7,Image 1,3,1,100000001,610000010194,
51,,Spine,2,17,Image 1,11,1,100000001,610000010195,
151,,Spine,2,18,Image 1,10,1,100000001,610000010196,
76,,Spine,2,17,Image 1,10,1,100000001,610000010197,
149,,Spine,2,16,Image 1,9,1,100000001,610000010198,
73,,Spine,2,14,Image 1,9,1,100000001,610000010199,
204,,Spine,2,16,Image 1,7,1,100000001,610000010200,
147,,Spine,2,15,Image 1,7,1,100000001,610000010201,
165,,Spine,2,14,Image 1,6,1,100000001,610000010202,
180,,Spine,2,14,Image 1,6,1,100000001,610000010203,
89,,Spine,2,13,Image 1,6,1,100000001,610000010204,
91,,Spine,2,13,Image 1,6,1,100000001,610000010205,
85,,Spine,2,11,Image 1,5,1,100000001,610000010206,
127,,Spine,2,9,Image 1,4,1,100000001,610000010207,
67,,Spine,2,21,Image 1,6,1,100000001,610000010208,
81,,Spine,2,21,Image 1,6,1,100000001,610000010209,
140,,Spine,2,21,Image 1,6,1,100000001,610000010210,
180,,Spine,2,21,Image 1,5,1,100000001,610000010211,
193,,Spine,2,20,Image 1,4,1,100000001,610000010212,
100,,Spine,2,19,Image 1,4,1,100000001,610000010213,
98,,Spine,2,17,Image 1,5,1,100000001,610000010214,
