
Spine Position X
 ==================== 
Spine Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-446.658,µm,Spine,Spine Position,2,2,1,100000000,610000004396,
-424.207,µm,Spine,Spine Position,5,3,1,100000002,610000004401,
-444.915,µm,Spine,Spine Position,0,1,1,100000000,610000004408,
-431.133,µm,Spine,Spine Position,7,4,1,100000000,610000004424,
-438.67,µm,Spine,Spine Position,4,3,1,100000000,610000004425,
-441.464,µm,Spine,Spine Position,1,2,1,100000000,610000004426,
-441.009,µm,Spine,Spine Position,1,2,1,100000000,610000004427,
-452.6,µm,Spine,Spine Position,4,3,1,100000000,610000004431,
-451.795,µm,Spine,Spine Position,4,3,1,100000000,610000004432,
-450.333,µm,Spine,Spine Position,4,3,1,100000000,610000004433,
-447.1,µm,Spine,Spine Position,3,2,1,100000000,610000004434,
-447.234,µm,Spine,Spine Position,3,3,1,100000000,610000004435,
-453.548,µm,Spine,Spine Position,3,1,1,100000000,610000004436,
-449.567,µm,Spine,Spine Position,3,2,1,100000000,610000004437,
-449.416,µm,Spine,Spine Position,3,2,1,100000000,610000004438,
-445.136,µm,Spine,Spine Position,0,1,1,100000000,610000004439,
-440.093,µm,Spine,Spine Position,0,1,1,100000000,610000004440,
-425.582,µm,Spine,Spine Position,4,1,1,100000001,610000004442,
-432.062,µm,Spine,Spine Position,4,2,1,100000001,610000004443,
-433.28,µm,Spine,Spine Position,4,2,1,100000001,610000004444,
-435.147,µm,Spine,Spine Position,2,1,1,100000001,610000004445,
-437.016,µm,Spine,Spine Position,2,2,1,100000001,610000004446,
-431.486,µm,Spine,Spine Position,6,3,1,100000001,610000004447,
-433.338,µm,Spine,Spine Position,6,3,1,100000001,610000004448,
-433.012,µm,Spine,Spine Position,6,4,1,100000001,610000004449,
-435.954,µm,Spine,Spine Position,3,2,1,100000001,610000004450,
-440.004,µm,Spine,Spine Position,1,2,1,100000001,610000004451,
-442.815,µm,Spine,Spine Position,1,2,1,100000001,610000004452,
-441.906,µm,Spine,Spine Position,2,2,1,100000001,610000004453,
-439.956,µm,Spine,Spine Position,0,1,1,100000001,610000004454,
-436.315,µm,Spine,Spine Position,0,1,1,100000001,610000004460,
-420.247,µm,Spine,Spine Position,2,2,1,100000002,610000004462,
-420.535,µm,Spine,Spine Position,2,2,1,100000002,610000004463,
-420.372,µm,Spine,Spine Position,2,2,1,100000002,610000004464,
-420.466,µm,Spine,Spine Position,2,2,1,100000002,610000004465,
-425.969,µm,Spine,Spine Position,1,2,1,100000002,610000004466,
-412.35,µm,Spine,Spine Position,5,3,1,100000002,610000004470,
-412.834,µm,Spine,Spine Position,5,3,1,100000002,610000004471,
-410.636,µm,Spine,Spine Position,7,2,1,100000002,610000004472,
-417.802,µm,Spine,Spine Position,3,2,1,100000002,610000004473,
-412.702,µm,Spine,Spine Position,3,2,1,100000003,610000004478,
-407.73,µm,Spine,Spine Position,0,1,1,100000003,610000004480,
-407.78,µm,Spine,Spine Position,0,1,1,100000003,610000004481,
-409.923,µm,Spine,Spine Position,0,1,1,100000003,610000004482,
-410.778,µm,Spine,Spine Position,0,1,1,100000003,610000004483,
