
Spine Attachment Pt Branching Angle
 ==================== 
Spine Attachment Pt Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
75.4831,°,Spine,3,2,1,100000004,610000011947,
88.0167,°,Spine,3,2,1,100000004,610000011948,
79.5603,°,Spine,1,1,1,100000004,610000011949,
37.7621,°,Spine,7,3,1,100000005,610000011950,
85.5452,°,Spine,6,2,1,100000005,610000011951,
90.1318,°,Spine,6,3,1,100000005,610000011952,
55.539,°,Spine,4,1,1,100000005,610000011953,
71.7611,°,Spine,3,1,1,100000005,610000011954,
69.9525,°,Spine,0,1,1,100000005,610000011955,
87.8433,°,Spine,0,1,1,100000005,610000011956,
75.6084,°,Spine,17,6,1,100000005,610000011957,
71.0891,°,Spine,13,5,1,100000005,610000011958,
92.534,°,Spine,7,2,1,100000005,610000011961,
74.6241,°,Spine,6,2,1,100000005,610000011963,
64.6159,°,Spine,7,3,1,100000005,610000011964,
88.1843,°,Spine,4,2,1,100000005,610000011965,
80.8888,°,Spine,7,3,1,100000005,610000011966,
70.864,°,Spine,1,1,1,100000005,610000011967,
57.9936,°,Spine,3,3,1,100000005,610000011969,
77.9762,°,Spine,1,2,1,100000005,610000011970,
82.1434,°,Spine,0,1,1,100000005,610000011971,
65.8863,°,Spine,10,5,1,100000006,610000011972,
86.2735,°,Spine,8,5,1,100000006,610000011973,
96.1739,°,Spine,4,4,1,100000006,610000011975,
82.5299,°,Spine,2,2,1,100000006,610000011976,
84.4905,°,Spine,4,2,1,100000006,610000011977,
90.3269,°,Spine,7,4,1,100000006,610000011980,
74.623,°,Spine,4,4,1,100000006,610000011981,
75.1284,°,Spine,3,3,1,100000006,610000011982,
85.6819,°,Spine,4,4,1,100000006,610000011983,
59.898,°,Spine,5,4,1,100000006,610000011984,
82.2423,°,Spine,8,3,1,100000006,610000011985,
100.673,°,Spine,5,2,1,100000006,610000011987,
69.3754,°,Spine,6,3,1,100000006,610000011989,
77.968,°,Spine,3,2,1,100000006,610000011990,
38.5833,°,Spine,2,1,1,100000006,610000011993,
87.893,°,Spine,1,1,1,100000006,610000011994,
84.5108,°,Spine,8,4,1,100000006,610000011996,
71.5141,°,Spine,8,3,1,100000006,610000011997,
96.9454,°,Spine,7,3,1,100000006,610000011998,
46.4941,°,Spine,6,3,1,100000006,610000011999,
87.8072,°,Spine,6,3,1,100000006,610000012000,
63.5664,°,Spine,1,2,1,100000006,610000012001,
59.9702,°,Spine,4,3,1,100000006,610000012004,
97.007,°,Spine,3,3,1,100000006,610000012005,
67.9739,°,Spine,4,3,1,100000006,610000012006,
146.731,°,Spine,4,3,1,100000006,610000012007,
87.5727,°,Spine,3,3,1,100000006,610000012008,
74.0773,°,Spine,0,1,1,100000006,610000012010,
56.6702,°,Spine,5,4,1,100000006,610000012012,
