
Segment Center Intensity Max Ch=3 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
73,,Segment,3,4,Image 1,3,1,100000003,510000002912,
117,,Segment,3,2,Image 1,3,1,100000003,510000002928,
168,,Segment,3,3,Image 1,3,1,100000003,510000002940,
192,,Segment,3,6,Image 1,5,1,100000006,510000002953,
116,,Segment,3,5,Image 1,4,1,100000006,510000002966,
115,,Segment,3,4,Image 1,3,1,100000006,510000002969,
135,,Segment,3,3,Image 1,3,1,100000006,510000002988,
120,,Segment,3,2,Image 1,2,1,100000006,510000003004,
133,,Segment,3,1,Image 1,1,1,100000006,510000003018,
157,,Segment,3,0,Image 1,1,1,100000006,510000003044,
137,,Segment,3,4,Image 1,2,1,100000005,510000003096,
99,,Segment,3,3,Image 1,2,1,100000000,510000003121,
101,,Segment,3,2,Image 1,1,1,100000000,510000003124,
131,,Segment,3,1,Image 1,1,1,100000000,510000003133,
133,,Segment,3,0,Image 1,1,1,100000000,510000003155,
76,,Segment,3,7,Image 1,2,1,100000005,510000003195,
64,,Segment,3,3,Image 1,4,1,100000004,510000003207,
122,,Segment,3,13,Image 1,5,1,100000001,510000003234,
109,,Segment,3,11,Image 1,4,1,100000001,510000003305,
76,,Segment,3,10,Image 1,3,1,100000001,510000003307,
143,,Segment,3,9,Image 1,3,1,100000001,510000003318,
110,,Segment,3,8,Image 1,3,1,100000001,510000003323,
58,,Segment,3,7,Image 1,3,1,100000001,510000003329,
98,,Segment,3,6,Image 1,3,1,100000001,510000003332,
131,,Segment,3,5,Image 1,3,1,100000001,510000003366,
109,,Segment,3,4,Image 1,2,1,100000001,510000003374,
85,,Segment,3,6,Image 1,4,1,100000000,510000003386,
89,,Segment,3,5,Image 1,3,1,100000000,510000003394,
181,,Segment,3,9,Image 1,5,1,100000006,510000003404,
136,,Segment,3,8,Image 1,5,1,100000006,510000003407,
70,,Segment,3,7,Image 1,4,1,100000006,510000003417,
131,,Segment,3,5,Image 1,4,1,100000006,510000003445,
98,,Segment,3,4,Image 1,3,1,100000006,510000003468,
148,,Segment,3,3,Image 1,2,1,100000006,510000003483,
140,,Segment,3,2,Image 1,2,1,100000006,510000003499,
107,,Segment,3,1,Image 1,2,1,100000006,510000003505,
140,,Segment,3,0,Image 1,1,1,100000006,510000003529,
79,,Segment,3,8,Image 1,4,1,100000006,510000003556,
137,,Segment,3,9,Image 1,6,1,100000006,510000003558,
49,,Segment,3,13,Image 1,6,1,100000001,510000003577,
112,,Segment,3,12,Image 1,5,1,100000001,510000003583,
110,,Segment,3,11,Image 1,5,1,100000001,510000003588,
97,,Segment,3,10,Image 1,5,1,100000001,510000003616,
110,,Segment,3,9,Image 1,4,1,100000001,510000003621,
101,,Segment,3,5,Image 1,4,1,100000006,510000003661,
87,,Segment,3,4,Image 1,4,1,100000006,510000003681,
92,,Segment,3,2,Image 1,2,1,100000006,510000003687,
97,,Segment,3,1,Image 1,1,1,100000006,510000003690,
76,,Segment,3,6,Image 1,3,1,100000001,510000003697,
100,,Segment,3,5,Image 1,2,1,100000001,510000003712,
164,,Segment,3,4,Image 1,1,1,100000001,510000003719,
164,,Segment,3,3,Image 1,1,1,100000001,510000003726,
173,,Segment,3,2,Image 1,1,1,100000001,510000003735,
181,,Segment,3,1,Image 1,1,1,100000001,510000003745,
168,,Segment,3,0,Image 1,1,1,100000001,510000003749,
76,,Segment,3,6,Image 1,2,1,100000001,510000003762,
118,,Segment,3,13,Image 1,4,1,100000005,510000003785,
144,,Segment,3,9,Image 1,4,1,100000005,510000003801,
82,,Segment,3,13,Image 1,4,1,100000005,510000003804,
82,,Segment,3,13,Image 1,3,1,100000005,510000003807,
132,,Segment,3,11,Image 1,4,1,100000005,510000003810,
91,,Segment,3,5,Image 1,4,1,100000004,510000003834,
77,,Segment,3,4,Image 1,3,1,100000004,510000003848,
77,,Segment,3,3,Image 1,2,1,100000004,510000003852,
111,,Segment,3,2,Image 1,2,1,100000004,510000003863,
145,,Segment,3,7,Image 1,3,1,100000005,510000003878,
104,,Segment,3,6,Image 1,3,1,100000005,510000003885,
105,,Segment,3,6,Image 1,5,1,100000004,510000003890,
126,,Segment,3,10,Image 1,5,1,100000006,510000003902,
68,,Segment,3,9,Image 1,5,1,100000006,510000003908,
126,,Segment,3,8,Image 1,4,1,100000006,510000003915,
102,,Segment,3,7,Image 1,4,1,100000006,510000003932,
81,,Segment,3,6,Image 1,4,1,100000006,510000003935,
84,,Segment,3,10,Image 1,6,1,100000006,510000003937,
108,,Segment,3,10,Image 1,6,1,100000006,510000003944,
55,,Segment,3,9,Image 1,6,1,100000006,510000003948,
117,,Segment,3,8,Image 1,5,1,100000006,510000003960,
102,,Segment,3,7,Image 1,5,1,100000006,510000003967,
55,,Segment,3,11,Image 1,8,1,100000006,510000003972,
120,,Segment,3,11,Image 1,7,1,100000006,510000003979,
81,,Segment,3,9,Image 1,4,1,100000006,510000003982,
143,,Segment,3,9,Image 1,5,1,100000006,510000003984,
88,,Segment,3,8,Image 1,5,1,100000006,510000003986,
66,,Segment,3,8,Image 1,6,1,100000006,510000003989,
89,,Segment,3,5,Image 1,4,1,100000001,510000004000,
59,,Segment,3,4,Image 1,3,1,100000001,510000004007,
76,,Segment,3,3,Image 1,2,1,100000001,510000004013,
143,,Segment,3,2,Image 1,2,1,100000001,510000004053,
168,,Segment,3,1,Image 1,1,1,100000001,510000004073,
186,,Segment,3,0,Image 1,1,1,100000001,510000004085,
77,,Segment,3,5,Image 1,3,1,100000001,510000004089,
52,,Segment,3,5,Image 1,4,1,100000001,510000004092,
61,,Segment,3,4,Image 1,3,1,100000004,510000004097,
107,,Segment,3,3,Image 1,3,1,100000004,510000004107,
108,,Segment,3,4,Image 1,2,1,100000000,510000004153,
119,,Segment,3,6,Image 1,3,1,100000000,510000004176,
97,,Segment,3,5,Image 1,3,1,100000000,510000004181,
105,,Segment,3,4,Image 1,3,1,100000000,510000004183,
97,,Segment,3,3,Image 1,3,1,100000000,510000004194,
121,,Segment,3,2,Image 1,3,1,100000000,510000004231,
97,,Segment,3,6,Image 1,4,1,100000000,510000004234,
88,,Segment,3,5,Image 1,4,1,100000000,510000004236,
96,,Segment,3,3,Image 1,4,1,100000000,510000004246,
72,,Segment,3,3,Image 1,2,1,100000004,510000004251,
68,,Segment,3,9,Image 1,3,1,100000001,510000004256,
