
Spine Part Max Diameter Ground
 ==================== 
Spine Part Max Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.838605,µm,Spine,Spine Part Max Diameter,7,2,1,100000005,610000011961,
1.26823,µm,Spine,Spine Part Max Diameter,6,2,1,100000005,610000011962,
1.01171,µm,Spine,Spine Part Max Diameter,6,2,1,100000005,610000011963,
0.904175,µm,Spine,Spine Part Max Diameter,7,3,1,100000005,610000011964,
1.30668,µm,Spine,Spine Part Max Diameter,4,2,1,100000005,610000011965,
1.25823,µm,Spine,Spine Part Max Diameter,7,3,1,100000005,610000011966,
1.8254,µm,Spine,Spine Part Max Diameter,1,1,1,100000005,610000011967,
2.4424,µm,Spine,Spine Part Max Diameter,1,1,1,100000005,610000011968,
0.940685,µm,Spine,Spine Part Max Diameter,3,3,1,100000005,610000011969,
1.28562,µm,Spine,Spine Part Max Diameter,1,2,1,100000005,610000011970,
2.47503,µm,Spine,Spine Part Max Diameter,0,1,1,100000005,610000011971,
1.25935,µm,Spine,Spine Part Max Diameter,10,5,1,100000006,610000011972,
1.25623,µm,Spine,Spine Part Max Diameter,8,5,1,100000006,610000011973,
0.787239,µm,Spine,Spine Part Max Diameter,7,4,1,100000006,610000011974,
0.625,µm,Spine,Spine Part Max Diameter,4,4,1,100000006,610000011975,
1.45833,µm,Spine,Spine Part Max Diameter,2,2,1,100000006,610000011976,
1.41365,µm,Spine,Spine Part Max Diameter,4,2,1,100000006,610000011977,
1.64835,µm,Spine,Spine Part Max Diameter,4,2,1,100000006,610000011978,
1.55599,µm,Spine,Spine Part Max Diameter,4,2,1,100000006,610000011979,
1.10787,µm,Spine,Spine Part Max Diameter,7,4,1,100000006,610000011980,
0.793747,µm,Spine,Spine Part Max Diameter,4,4,1,100000006,610000011981,
1.25,µm,Spine,Spine Part Max Diameter,3,3,1,100000006,610000011982,
0.69982,µm,Spine,Spine Part Max Diameter,4,4,1,100000006,610000011983,
0.856834,µm,Spine,Spine Part Max Diameter,5,4,1,100000006,610000011984,
1.08878,µm,Spine,Spine Part Max Diameter,8,3,1,100000006,610000011985,
0.833333,µm,Spine,Spine Part Max Diameter,5,1,1,100000006,610000011986,
0.82163,µm,Spine,Spine Part Max Diameter,5,2,1,100000006,610000011987,
1.02433,µm,Spine,Spine Part Max Diameter,4,1,1,100000006,610000011988,
0.908463,µm,Spine,Spine Part Max Diameter,6,3,1,100000006,610000011989,
1.0493,µm,Spine,Spine Part Max Diameter,3,2,1,100000006,610000011990,
1.26313,µm,Spine,Spine Part Max Diameter,2,1,1,100000006,610000011991,
1.0332,µm,Spine,Spine Part Max Diameter,2,1,1,100000006,610000011993,
1.57052,µm,Spine,Spine Part Max Diameter,1,1,1,100000006,610000011994,
0.778901,µm,Spine,Spine Part Max Diameter,8,4,1,100000006,610000011995,
0.807185,µm,Spine,Spine Part Max Diameter,8,4,1,100000006,610000011996,
1.04167,µm,Spine,Spine Part Max Diameter,8,3,1,100000006,610000011997,
1.08744,µm,Spine,Spine Part Max Diameter,7,3,1,100000006,610000011998,
0.787487,µm,Spine,Spine Part Max Diameter,6,3,1,100000006,610000011999,
0.859854,µm,Spine,Spine Part Max Diameter,6,3,1,100000006,610000012000,
0.830114,µm,Spine,Spine Part Max Diameter,1,2,1,100000006,610000012001,
1.06579,µm,Spine,Spine Part Max Diameter,4,3,1,100000006,610000012004,
1.22396,µm,Spine,Spine Part Max Diameter,3,3,1,100000006,610000012005,
1.25094,µm,Spine,Spine Part Max Diameter,4,3,1,100000006,610000012006,
1.11449,µm,Spine,Spine Part Max Diameter,4,3,1,100000006,610000012007,
1.56403,µm,Spine,Spine Part Max Diameter,3,3,1,100000006,610000012008,
1.37138,µm,Spine,Spine Part Max Diameter,0,1,1,100000006,610000012009,
1.4867,µm,Spine,Spine Part Max Diameter,0,1,1,100000006,610000012010,
1.40038,µm,Spine,Spine Part Max Diameter,2,1,1,100000006,610000012011,
0.740288,µm,Spine,Spine Part Max Diameter,5,4,1,100000006,610000012012,
0.890193,µm,Spine,Spine Part Max Diameter,2,3,1,100000006,610000012013,
0.954504,µm,Spine,Spine Part Max Diameter,2,2,1,100000006,610000012014,
