
Segment Center Intensity Min Ch=5 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
15,,Segment,5,8,Image 1,3,1,100000000,510000004748,
40,,Segment,5,7,Image 1,3,1,100000000,510000004752,
0,,Segment,5,6,Image 1,2,1,100000000,510000004770,
12,,Segment,5,5,Image 1,2,1,100000000,510000004785,
40,,Segment,5,4,Image 1,1,1,100000000,510000004806,
67,,Segment,5,3,Image 1,1,1,100000000,510000004810,
85,,Segment,5,2,Image 1,1,1,100000000,510000004814,
0,,Segment,5,7,Image 1,2,1,100000000,510000004821,
42,,Segment,5,8,Image 1,4,1,100000000,510000004824,
0,,Segment,5,1,Image 1,1,1,100000001,510000004833,
21,,Segment,5,4,Image 1,2,1,100000001,510000004836,
0,,Segment,5,1,Image 1,2,1,100000003,510000004920,
22,,Segment,5,0,Image 1,1,1,100000003,510000004923,
0,,Segment,5,0,Image 1,1,1,100000002,510000004953,
0,,Segment,5,3,Image 1,2,1,100000002,510000005002,
0,,Segment,5,9,Image 1,3,1,100000002,510000005016,
33,,Segment,5,7,Image 1,2,1,100000002,510000005022,
28,,Segment,5,9,Image 1,2,1,100000002,510000005042,
28,,Segment,5,4,Image 1,1,1,100000002,510000005051,
39,,Segment,5,8,Image 1,3,1,100000002,510000005055,
26,,Segment,5,6,Image 1,3,1,100000002,510000005085,
0,,Segment,5,5,Image 1,3,1,100000002,510000005101,
32,,Segment,5,3,Image 1,3,1,100000002,510000005109,
27,,Segment,5,1,Image 1,2,1,100000002,510000005113,
0,,Segment,5,7,Image 1,3,1,100000000,510000005126,
25,,Segment,5,4,Image 1,2,1,100000002,510000005143,
0,,Segment,5,1,Image 1,2,1,100000001,510000005219,
0,,Segment,5,2,Image 1,3,1,100000001,510000005266,
61,,Segment,5,1,Image 1,2,1,100000001,510000005268,
0,,Segment,5,1,Image 1,1,1,100000000,510000005295,
23,,Segment,5,9,Image 1,6,1,100000000,510000005306,
18,,Segment,5,8,Image 1,5,1,100000000,510000005329,
0,,Segment,5,7,Image 1,4,1,100000000,510000005332,
12,,Segment,5,6,Image 1,3,1,100000000,510000005342,
25,,Segment,5,9,Image 1,5,1,100000000,510000005353,
16,,Segment,5,8,Image 1,4,1,100000000,510000005360,
11,,Segment,5,4,Image 1,3,1,100000003,510000005372,
11,,Segment,5,3,Image 1,2,1,100000003,510000005377,
56,,Segment,5,2,Image 1,1,1,100000003,510000005380,
47,,Segment,5,3,Image 1,2,1,100000003,510000005387,
11,,Segment,5,4,Image 1,2,1,100000003,510000005404,
22,,Segment,5,3,Image 1,1,1,100000003,510000005409,
0,,Segment,5,0,Image 1,1,1,100000003,510000005422,
38,,Segment,5,1,Image 1,1,1,100000003,510000005424,
36,,Segment,5,0,Image 1,1,1,100000003,510000005430,
9,,Segment,5,4,Image 1,2,1,100000002,510000005437,
21,,Segment,5,3,Image 1,2,1,100000002,510000005447,
15,,Segment,5,2,Image 1,2,1,100000002,510000005454,
21,,Segment,5,4,Image 1,3,1,100000002,510000005461,
18,,Segment,5,5,Image 1,2,1,100000002,510000005468,
29,,Segment,5,4,Image 1,2,1,100000002,510000005478,
48,,Segment,5,3,Image 1,2,1,100000002,510000005480,
41,,Segment,5,2,Image 1,1,1,100000002,510000005513,
58,,Segment,5,1,Image 1,1,1,100000002,510000005519,
29,,Segment,5,5,Image 1,3,1,100000002,510000005523,
23,,Segment,5,4,Image 1,3,1,100000002,510000005534,
16,,Segment,5,3,Image 1,3,1,100000002,510000005539,
11,,Segment,5,3,Image 1,1,1,100000002,510000005549,
9,,Segment,5,1,Image 1,1,1,100000002,510000005582,
31,,Segment,5,2,Image 1,2,1,100000002,510000005595,
12,,Segment,5,3,Image 1,1,1,100000003,510000005599,
20,,Segment,5,1,Image 1,1,1,100000003,510000005608,
23,,Segment,5,7,Image 1,2,1,100000000,510000005623,
66,,Segment,5,6,Image 1,1,1,100000000,510000005629,
70,,Segment,5,5,Image 1,1,1,100000000,510000005651,
66,,Segment,5,4,Image 1,1,1,100000000,510000005653,
50,,Segment,5,7,Image 1,1,1,100000000,510000005665,
33,,Segment,5,6,Image 1,2,1,100000000,510000005673,
33,,Segment,5,5,Image 1,3,1,100000000,510000005675,
24,,Segment,5,1,Image 1,2,1,100000000,510000005687,
38,,Segment,5,5,Image 1,2,1,100000000,510000005690,
54,,Segment,5,2,Image 1,2,1,100000000,510000005695,
22,,Segment,5,1,Image 1,1,1,100000003,510000005706,
11,,Segment,5,4,Image 1,3,1,100000001,510000005712,
26,,Segment,5,3,Image 1,3,1,100000001,510000005723,
37,,Segment,5,7,Image 1,3,1,100000000,510000005731,
15,,Segment,5,4,Image 1,2,1,100000001,510000005777,
8,,Segment,5,2,Image 1,1,1,100000001,510000005821,
65,,Segment,5,1,Image 1,1,1,100000001,510000005823,
13,,Segment,5,1,Image 1,2,1,100000001,510000005831,
30,,Segment,5,2,Image 1,1,1,100000001,510000005837,
9,,Segment,5,5,Image 1,2,1,100000000,510000005860,
22,,Segment,5,4,Image 1,2,1,100000000,510000005877,
9,,Segment,5,3,Image 1,2,1,100000000,510000005911,
22,,Segment,5,5,Image 1,3,1,100000000,510000005941,
6,,Segment,5,6,Image 1,2,1,100000000,510000005999,
39,,Segment,5,5,Image 1,1,1,100000000,510000006010,
9,,Segment,5,4,Image 1,1,1,100000001,510000006032,
0,,Segment,5,3,Image 1,2,1,100000001,510000006043,
40,,Segment,5,4,Image 1,3,1,100000000,510000006056,
14,,Segment,5,3,Image 1,1,1,100000001,510000006062,
12,,Segment,5,4,Image 1,2,1,100000000,510000006122,
50,,Segment,5,3,Image 1,2,1,100000000,510000006127,
23,,Segment,5,3,Image 1,2,1,100000002,510000006138,
27,,Segment,5,3,Image 1,2,1,100000001,510000006141,
26,,Segment,5,6,Image 1,1,1,100000000,510000006155,
11,,Segment,5,3,Image 1,3,1,100000002,510000006163,
17,,Segment,5,2,Image 1,2,1,100000002,510000006167,
15,,Segment,5,1,Image 1,1,1,100000000,510000006241,
85,,Segment,5,0,Image 1,1,1,100000000,510000006256,
13,,Segment,5,3,Image 1,2,1,100000002,510000006259,
60,,Segment,5,2,Image 1,2,1,100000001,510000006264,
15,,Segment,5,4,Image 1,2,1,100000000,510000006293,
0,,Segment,5,1,Image 1,2,1,100000002,510000006305,
31,,Segment,5,2,Image 1,2,1,100000001,510000006319,
30,,Segment,5,0,Image 1,1,1,100000000,510000006381,
11,,Segment,5,3,Image 1,2,1,100000000,510000006394,
18,,Segment,5,4,Image 1,3,1,100000000,510000006406,
33,,Segment,5,2,Image 1,2,1,100000001,510000006443,
60,,Segment,5,2,Image 1,2,1,100000001,510000006450,
24,,Segment,5,1,Image 1,2,1,100000000,510000006478,
16,,Segment,5,0,Image 1,1,1,100000001,510000006491,
32,,Segment,5,1,Image 1,1,1,100000001,510000006497,
67,,Segment,5,0,Image 1,1,1,100000000,510000006518,
32,,Segment,5,2,Image 1,3,1,100000001,510000006564,
43,,Segment,5,3,Image 1,1,1,100000001,510000006566,
64,,Segment,5,0,Image 1,1,1,100000001,510000006567,
84,,Segment,5,4,Image 1,2,1,100000002,510000006568,
53,,Segment,5,8,Image 1,2,1,100000002,510000006569,
