
Spine Intensity Min Ch=2 Img=1
 ==================== 
Spine Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,2,4,Image 1,3,1,100000002,610000007581,
0,,Spine,2,2,Image 1,2,1,100000002,610000007582,
0,,Spine,2,6,Image 1,2,1,100000002,610000007583,
0,,Spine,2,4,Image 1,2,1,100000002,610000007584,
0,,Spine,2,4,Image 1,1,1,100000002,610000007585,
0,,Spine,2,3,Image 1,2,1,100000002,610000007586,
0,,Spine,2,3,Image 1,2,1,100000002,610000007587,
0,,Spine,2,3,Image 1,2,1,100000002,610000007588,
0,,Spine,2,1,Image 1,1,1,100000002,610000007589,
0,,Spine,2,3,Image 1,1,1,100000002,610000007590,
0,,Spine,2,3,Image 1,1,1,100000002,610000007591,
0,,Spine,2,3,Image 1,1,1,100000002,610000007592,
0,,Spine,2,2,Image 1,1,1,100000002,610000007593,
0,,Spine,2,2,Image 1,1,1,100000002,610000007594,
0,,Spine,2,2,Image 1,2,1,100000002,610000007595,
1,,Spine,2,2,Image 1,2,1,100000002,610000007596,
0,,Spine,2,2,Image 1,2,1,100000002,610000007597,
0,,Spine,2,0,Image 1,1,1,100000002,610000007598,
0,,Spine,2,0,Image 1,1,1,100000002,610000007600,
0,,Spine,2,6,Image 1,5,1,100000003,610000007601,
0,,Spine,2,5,Image 1,5,1,100000003,610000007602,
0,,Spine,2,4,Image 1,4,1,100000003,610000007603,
0,,Spine,2,3,Image 1,4,1,100000003,610000007604,
0,,Spine,2,3,Image 1,4,1,100000003,610000007605,
0,,Spine,2,3,Image 1,4,1,100000003,610000007606,
0,,Spine,2,6,Image 1,3,1,100000003,610000007607,
0,,Spine,2,6,Image 1,3,1,100000003,610000007608,
0,,Spine,2,6,Image 1,4,1,100000003,610000007609,
0,,Spine,2,6,Image 1,4,1,100000003,610000007610,
0,,Spine,2,2,Image 1,3,1,100000003,610000007611,
0,,Spine,2,2,Image 1,3,1,100000003,610000007612,
0,,Spine,2,2,Image 1,2,1,100000003,610000007613,
0,,Spine,2,4,Image 1,3,1,100000003,610000007614,
0,,Spine,2,3,Image 1,2,1,100000003,610000007615,
0,,Spine,2,1,Image 1,1,1,100000003,610000007616,
0,,Spine,2,0,Image 1,1,1,100000003,610000007617,
0,,Spine,2,2,Image 1,1,1,100000003,610000007618,
0,,Spine,2,1,Image 1,1,1,100000003,610000007619,
0,,Spine,2,0,Image 1,1,1,100000003,610000007620,
0,,Spine,2,0,Image 1,1,1,100000003,610000007621,
0,,Spine,2,0,Image 1,1,1,100000003,610000007622,
0,,Spine,2,1,Image 1,2,1,100000003,610000007627,
0,,Spine,2,2,Image 1,1,1,100000003,610000007628,
