
Segment Intensity Mean Ch=5 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
59.0745,,Segment,5,3,Image 1,1,1,100000000,510000003765,
31.4065,,Segment,5,8,Image 1,4,1,100000000,510000003771,
16.7324,,Segment,5,6,Image 1,3,1,100000000,510000003773,
31.0282,,Segment,5,7,Image 1,2,1,100000000,510000003777,
33.9436,,Segment,5,3,Image 1,3,1,100000003,510000003815,
53.8456,,Segment,5,2,Image 1,2,1,100000003,510000003857,
54.1877,,Segment,5,1,Image 1,1,1,100000003,510000003861,
23.7563,,Segment,5,6,Image 1,3,1,100000003,510000003871,
37.4095,,Segment,5,6,Image 1,5,1,100000003,510000003880,
32.6695,,Segment,5,5,Image 1,4,1,100000003,510000003887,
27.5484,,Segment,5,4,Image 1,4,1,100000003,510000003891,
29.944,,Segment,5,7,Image 1,2,1,100000000,510000003921,
29.1059,,Segment,5,6,Image 1,2,1,100000000,510000003951,
43.9732,,Segment,5,6,Image 1,4,1,100000002,510000003959,
24.9737,,Segment,5,3,Image 1,3,1,100000002,510000003962,
23.6713,,Segment,5,2,Image 1,3,1,100000002,510000003999,
28.3271,,Segment,5,3,Image 1,4,1,100000002,510000004002,
40.9603,,Segment,5,3,Image 1,1,1,100000002,510000004073,
36.483,,Segment,5,2,Image 1,1,1,100000002,510000004079,
42.3993,,Segment,5,1,Image 1,1,1,100000002,510000004116,
37.1056,,Segment,5,0,Image 1,1,1,100000002,510000004132,
22.065,,Segment,5,3,Image 1,2,1,100000001,510000004150,
27.1792,,Segment,5,2,Image 1,2,1,100000001,510000004194,
39.2923,,Segment,5,6,Image 1,2,1,100000002,510000004222,
63.4776,,Segment,5,5,Image 1,2,1,100000002,510000004224,
42.9588,,Segment,5,4,Image 1,2,1,100000002,510000004318,
39.2639,,Segment,5,3,Image 1,1,1,100000002,510000004363,
34.6247,,Segment,5,2,Image 1,1,1,100000002,510000004374,
32.3485,,Segment,5,6,Image 1,3,1,100000002,510000004392,
37.4821,,Segment,5,5,Image 1,3,1,100000002,510000004413,
30.0999,,Segment,5,7,Image 1,3,1,100000001,510000004457,
44.9074,,Segment,5,6,Image 1,2,1,100000001,510000004474,
43.7917,,Segment,5,5,Image 1,2,1,100000001,510000004503,
43.848,,Segment,5,7,Image 1,2,1,100000001,510000004555,
30.5379,,Segment,5,6,Image 1,3,1,100000001,510000004568,
24.6214,,Segment,5,2,Image 1,3,1,100000003,510000004585,
37.5069,,Segment,5,1,Image 1,2,1,100000003,510000004592,
35.0761,,Segment,5,0,Image 1,1,1,100000003,510000004599,
38.127,,Segment,5,2,Image 1,2,1,100000003,510000004620,
27.3303,,Segment,5,1,Image 1,2,1,100000001,510000004631,
54.0845,,Segment,5,0,Image 1,1,1,100000001,510000004646,
24.4925,,Segment,5,3,Image 1,3,1,100000001,510000004656,
36.6352,,Segment,5,5,Image 1,3,1,100000001,510000004669,
42.3642,,Segment,5,4,Image 1,2,1,100000001,510000004702,
54.0182,,Segment,5,5,Image 1,2,1,100000001,510000004704,
25.202,,Segment,5,4,Image 1,4,1,100000001,510000004710,
29.5977,,Segment,5,4,Image 1,3,1,100000000,510000004721,
39.8478,,Segment,5,6,Image 1,3,1,100000001,510000004724,
33.8061,,Segment,5,3,Image 1,2,1,100000003,510000004727,
31.223,,Segment,5,8,Image 1,3,1,100000000,510000004748,
40.2373,,Segment,5,7,Image 1,3,1,100000000,510000004752,
25.639,,Segment,5,6,Image 1,2,1,100000000,510000004770,
39.2,,Segment,5,5,Image 1,2,1,100000000,510000004785,
49.8108,,Segment,5,4,Image 1,1,1,100000000,510000004806,
63.3892,,Segment,5,3,Image 1,1,1,100000000,510000004810,
73.3204,,Segment,5,2,Image 1,1,1,100000000,510000004814,
31.633,,Segment,5,7,Image 1,2,1,100000000,510000004821,
42.9186,,Segment,5,8,Image 1,4,1,100000000,510000004824,
21.5887,,Segment,5,1,Image 1,1,1,100000001,510000004833,
35.8614,,Segment,5,4,Image 1,2,1,100000001,510000004836,
34.6437,,Segment,5,1,Image 1,2,1,100000003,510000004920,
36.4324,,Segment,5,0,Image 1,1,1,100000003,510000004923,
34.961,,Segment,5,0,Image 1,1,1,100000002,510000004953,
28.9587,,Segment,5,3,Image 1,2,1,100000002,510000005002,
25.1944,,Segment,5,9,Image 1,3,1,100000002,510000005016,
46.1008,,Segment,5,7,Image 1,2,1,100000002,510000005022,
33.4899,,Segment,5,9,Image 1,2,1,100000002,510000005042,
35.7027,,Segment,5,4,Image 1,1,1,100000002,510000005051,
38.3857,,Segment,5,8,Image 1,3,1,100000002,510000005055,
51.6751,,Segment,5,6,Image 1,3,1,100000002,510000005085,
38.7965,,Segment,5,5,Image 1,3,1,100000002,510000005101,
43.4839,,Segment,5,3,Image 1,3,1,100000002,510000005109,
42.5814,,Segment,5,1,Image 1,2,1,100000002,510000005113,
25.7582,,Segment,5,7,Image 1,3,1,100000000,510000005126,
32.6493,,Segment,5,4,Image 1,2,1,100000002,510000005143,
36.1751,,Segment,5,1,Image 1,2,1,100000001,510000005219,
35.9719,,Segment,5,2,Image 1,3,1,100000001,510000005266,
57.6986,,Segment,5,1,Image 1,2,1,100000001,510000005268,
43.2857,,Segment,5,1,Image 1,1,1,100000000,510000005295,
53.7306,,Segment,5,9,Image 1,6,1,100000000,510000005306,
38.9413,,Segment,5,8,Image 1,5,1,100000000,510000005329,
20.08,,Segment,5,7,Image 1,4,1,100000000,510000005332,
40.8871,,Segment,5,6,Image 1,3,1,100000000,510000005342,
56.2444,,Segment,5,9,Image 1,5,1,100000000,510000005353,
23.8439,,Segment,5,8,Image 1,4,1,100000000,510000005360,
41.1162,,Segment,5,4,Image 1,3,1,100000003,510000005372,
43.954,,Segment,5,3,Image 1,2,1,100000003,510000005377,
45.7354,,Segment,5,2,Image 1,1,1,100000003,510000005380,
55.0063,,Segment,5,3,Image 1,2,1,100000003,510000005387,
34.6512,,Segment,5,4,Image 1,2,1,100000003,510000005404,
32.2931,,Segment,5,3,Image 1,1,1,100000003,510000005409,
28.408,,Segment,5,0,Image 1,1,1,100000003,510000005422,
35.0471,,Segment,5,1,Image 1,1,1,100000003,510000005424,
33.6907,,Segment,5,0,Image 1,1,1,100000003,510000005430,
18.6367,,Segment,5,4,Image 1,2,1,100000002,510000005437,
42.1345,,Segment,5,3,Image 1,2,1,100000002,510000005447,
33.1932,,Segment,5,2,Image 1,2,1,100000002,510000005454,
37.7692,,Segment,5,4,Image 1,3,1,100000002,510000005461,
25.8442,,Segment,5,5,Image 1,2,1,100000002,510000005468,
31.7123,,Segment,5,4,Image 1,2,1,100000002,510000005478,
44.7308,,Segment,5,3,Image 1,2,1,100000002,510000005480,
50.5,,Segment,5,2,Image 1,1,1,100000002,510000005513,
52.8756,,Segment,5,1,Image 1,1,1,100000002,510000005519,
26.6084,,Segment,5,5,Image 1,3,1,100000002,510000005523,
36.2857,,Segment,5,4,Image 1,3,1,100000002,510000005534,
25.7258,,Segment,5,3,Image 1,3,1,100000002,510000005539,
30.3797,,Segment,5,3,Image 1,1,1,100000002,510000005549,
27.9418,,Segment,5,1,Image 1,1,1,100000002,510000005582,
52.2842,,Segment,5,2,Image 1,2,1,100000002,510000005595,
24.0579,,Segment,5,3,Image 1,1,1,100000003,510000005599,
34.2275,,Segment,5,1,Image 1,1,1,100000003,510000005608,
50.8336,,Segment,5,7,Image 1,2,1,100000000,510000005623,
58.6712,,Segment,5,6,Image 1,1,1,100000000,510000005629,
65.2801,,Segment,5,5,Image 1,1,1,100000000,510000005651,
62.7,,Segment,5,4,Image 1,1,1,100000000,510000005653,
51.6623,,Segment,5,7,Image 1,1,1,100000000,510000005665,
57.3056,,Segment,5,6,Image 1,2,1,100000000,510000005673,
46.6212,,Segment,5,5,Image 1,3,1,100000000,510000005675,
47.3593,,Segment,5,1,Image 1,2,1,100000000,510000005687,
50.1373,,Segment,5,5,Image 1,2,1,100000000,510000005690,
56.5273,,Segment,5,2,Image 1,2,1,100000000,510000005695,
32.0884,,Segment,5,1,Image 1,1,1,100000003,510000005706,
37.8091,,Segment,5,4,Image 1,3,1,100000001,510000005712,
41.3708,,Segment,5,3,Image 1,3,1,100000001,510000005723,
36.1512,,Segment,5,7,Image 1,3,1,100000000,510000005731,
29.865,,Segment,5,4,Image 1,2,1,100000001,510000005777,
44.3616,,Segment,5,2,Image 1,1,1,100000001,510000005821,
59.795,,Segment,5,1,Image 1,1,1,100000001,510000005823,
37.8923,,Segment,5,1,Image 1,2,1,100000001,510000005831,
46.5092,,Segment,5,2,Image 1,1,1,100000001,510000005837,
30.1412,,Segment,5,5,Image 1,2,1,100000000,510000005860,
38.1897,,Segment,5,4,Image 1,2,1,100000000,510000005877,
41.6362,,Segment,5,3,Image 1,2,1,100000000,510000005911,
38.8128,,Segment,5,5,Image 1,3,1,100000000,510000005941,
33.8269,,Segment,5,6,Image 1,2,1,100000000,510000005999,
40.0179,,Segment,5,5,Image 1,1,1,100000000,510000006010,
30.0407,,Segment,5,4,Image 1,1,1,100000001,510000006032,
28.9811,,Segment,5,3,Image 1,2,1,100000001,510000006043,
51.9974,,Segment,5,4,Image 1,3,1,100000000,510000006056,
26.4478,,Segment,5,3,Image 1,1,1,100000001,510000006062,
35.0252,,Segment,5,4,Image 1,2,1,100000000,510000006122,
64.3433,,Segment,5,3,Image 1,2,1,100000000,510000006127,
32.772,,Segment,5,3,Image 1,2,1,100000002,510000006138,
25.2929,,Segment,5,3,Image 1,2,1,100000001,510000006141,
39.1444,,Segment,5,6,Image 1,1,1,100000000,510000006155,
25.1031,,Segment,5,3,Image 1,3,1,100000002,510000006163,
35.4226,,Segment,5,2,Image 1,2,1,100000002,510000006167,
42.8851,,Segment,5,1,Image 1,1,1,100000000,510000006241,
97.8333,,Segment,5,0,Image 1,1,1,100000000,510000006256,
21.1575,,Segment,5,3,Image 1,2,1,100000002,510000006259,
65.897,,Segment,5,2,Image 1,2,1,100000001,510000006264,
42.5423,,Segment,5,4,Image 1,2,1,100000000,510000006293,
26.7684,,Segment,5,1,Image 1,2,1,100000002,510000006305,
38.0175,,Segment,5,2,Image 1,2,1,100000001,510000006319,
52.816,,Segment,5,0,Image 1,1,1,100000000,510000006381,
26.688,,Segment,5,3,Image 1,2,1,100000000,510000006394,
42.6667,,Segment,5,4,Image 1,3,1,100000000,510000006406,
47.1364,,Segment,5,2,Image 1,2,1,100000001,510000006443,
52.4664,,Segment,5,2,Image 1,2,1,100000001,510000006450,
46.617,,Segment,5,1,Image 1,2,1,100000000,510000006478,
34.225,,Segment,5,0,Image 1,1,1,100000001,510000006491,
48.4744,,Segment,5,1,Image 1,1,1,100000001,510000006497,
96.4355,,Segment,5,0,Image 1,1,1,100000000,510000006518,
50.3154,,Segment,5,2,Image 1,3,1,100000001,510000006564,
39.8605,,Segment,5,3,Image 1,1,1,100000001,510000006566,
72.3077,,Segment,5,0,Image 1,1,1,100000001,510000006567,
57.7188,,Segment,5,4,Image 1,2,1,100000002,510000006568,
31.9884,,Segment,5,8,Image 1,2,1,100000002,510000006569,
